Tytuł,Miejsce,Powierzchnia,L_pokoi,Pietro,Rok_budowy,Cena
Nowoczesna kawalerka w centrum Wrzeszcza okazja,Gdańsk Wrzeszcz,28.8,1,2,0,334 000 zł
Kołobrzeska 53,"Gdańsk Przymorze, Kołobrzeska",45,2,4,1970,385 000 zł
"Słowackiego45_2 pok. osobne, 42mkw, 2 windy","Gdańsk Wrzeszcz, Słowackiego Juliusza",42,2,2,1972,365 000 zł
Trzypokojowe mieszkanie przy ul. Wajdeloty,"Gdańsk Wrzeszcz, Wajdeloty",64,3,3,0,579 000 zł
"3 pokoje Gdańsk Morena Garaż,PiwnicaTrójstronne!","Gdańsk Morena, Prof. Stefana Hausbrandta",56.3,3,4,2015,660 000 zł
"Przestronne, funkcjonalne mieszkanie Gdańsk Morena","Gdańsk Morena, Myśliwska",75,3,5,2010,799 000 zł
Mieszkanie 3-pokojowe Wrzeszcz!,"Gdańsk Wrzeszcz, Żywiecka",62.7,3,2,1984,540 000 zł
"Mieszkanie inwestycyjne - rentowność 8,8%!",Gdańsk Żabianka,67,6,3,1970,749 000 zł
3 pokoje w centrum wrzeszcza,"Gdańsk Wrzeszcz, Grunwaldzka",60.43,3,3,1966,460 000 zł
"Bastion Wałowa- 46 m2 8 piętro, z halą!","Gdańsk Młode Miasto, Wałowa",44.85,2,8,2018,599 000 zł
"Przytulne mieszkanie ze skosami, centrum wrzeszcza","Gdańsk Wrzeszcz, Antoniego Lendziona",80,2,3,1910,699 000 zł
Piękny apartament w kamienicy Gdańsk Wrzeszcz,"Gdańsk Wrzeszcz, Politechniczna",65.6,3,1,1911,690 000 zł
Duże mieszkanie z balkonem w idealnej lokalizacji!,"Gdańsk Zaspa, Stanisława Skarżyńskiego",75.5,3,1,2008,770 000 zł
Piękny widok na zatokę z centrum moreny !,"Gdańsk Morena, Franciszka Rakoczego",53,3,9,2019,499 000 zł
"Mieszkanie, Kawalerka blisko centrum, 31 m, Okazja, pilna sprzedaż","Gdańsk Siedlce, Szara 23",31.1,1,1,1950,249 000 zł
Trzypokojowe mieszkanie z balkonem oraz ogródkiem,"Gdańsk Kowale, Zeusa",69.12,3,parter,2007,490 000 zł
Ustawne i jasne mieszkanie 62m² z pięknym widokiem ul. Góralska,"Gdańsk Niedźwiednik, Góralska",62,3,7,1987,448 000 zł
OSOWA/ 2 pokoje/ dla rodziny,"Gdańsk Osowa, Hery",44.7,2,parter,2010,379 000 zł
Nad morzem piękny 3 pokojowy apartament,"Gdańsk Wrzeszcz, Gen. Józefa Hallera",57.96,3,1,2019,649 000 zł
Mieszkanie 2 pokojowe w centrum Wrzeszcza!,"Gdańsk Wrzeszcz, Konrada Wallenroda",48.14,2,1,1870,580 000 zł
Kamienica z windą - Serce Starego Miasta,"Gdańsk Śródmieście, Długi Targ",92,3,4,0,919 000 zł
Mieszkanie 2 pokojowe po remoncie Gdańsk Chełm ul.Nieborowska,"Gdańsk Chełm, Nieborowska",35,2,2,2002,369 000 zł
Piękne 2-pokojowe mieszkanie z super widokiem,"Gdańsk Jasień, Stolema",47.7,2,3,2015,460 000 zł
Perfekcyjne 4 pok / 2 łazienki / 2 balkony - IDEAŁ,"Gdańsk Św. Wojciech, Borkowska",70.59,4,parter,2019,599 000 zł
Czteropokojowy apartament z tarasem na Starówce,"Gdańsk Długie Ogrody, Długa Grobla",87.56,4,5,2018,1 230 000 zł
Zaspa Rozstaje niska zabudowa idealna lokalizacja,"Gdańsk Zaspa, Drzewieckiego",47.7,2,3,1976,459 000 zł
Kawalerka prywatnie z pełnym wyposażeniem w cenie,Gdańsk Ujeścisko,36,1,2,2000,298 000 zł
Mieszkanie 800 metrów od morza,"Gdańsk Brzeźno, Dworska",39.9,2,parter,1970,379 000 zł
"Komfortowe, 3 pokojowe Gdańsk - Borkowo","Gdańsk Łostowice, Żeglarska",70,3,1,2012,499 900 zł
"Dwa mieszkania w cenie jednego - Gdańsk, Wrzeszcz","Gdańsk Wrzeszcz Dolny, Gen. Józefa Hallera",86.22,3,1,1930,599 900 zł
"Hit cenowy - 85 m2 - Centrum, Trakt św. Wojciecha",Gdańsk Trakt Św. Wojciecha,85,3,3,1950,549 900 zł
"Komfortowe trzy pokoje - Gdańsk, Niedźwiednik","Gdańsk Niedźwiednik, Leśna Góra",61,3,parter,1986,487 900 zł
3 pokoje -Zakoniczyn (widok + parking + piwnica),"Gdańsk Zakoniczyn, Aleksandra Dulin'a",54,3,5,2010,459 000 zł
"Mieszkanie nad jeziorem, Osiedle VODA, Gdańsk","Gdańsk Jasień, Węgrzyna",54.66,3,3,2020,486 000 zł
"Gdańsk Zaspa, 2 pok, osobna kuchnia, do aranżacji","Gdańsk Zaspa, Żwirki I Wigury",48.6,2,3,1980,394 000 zł
4 pokojowe nowoczesne i klimatyczne mieszkanie,"Gdańsk Zakoniczyn, Porębskiego",80,4,2,2008,650 000 zł
"2-pokojowe, nowe mieszkanie na przymorzu!","Gdańsk Przymorze, Krynicka",40,2,parter,2017,580 000 zł
3 pokojowy apartament z pięknym widokiem!,"Gdańsk Morena, Wołkowyska",76,3,2,2007,721 000 zł
2 pokoje z oddz. kuch - 400 metrów od plaży,"Gdańsk Brzeźno, Ksawerego Dunikowskiego",44.2,2,3,1974,349 000 zł
"2 sypialnie+ salon z kuchnią, blisko plaży, gdańsk","Gdańsk Żabianka, Jakuba Wejhera",45.38,3,3,1967,428 000 zł
Kawalerka z pięknym widokiem Gdańsk VII Dwór,"Gdańsk VII Dwór, Aleksandra Gryglewskiego",26.1,1,4,1965,319 000 zł
Przymorze/ 3 pokoje z pięknym widokiem,"Gdańsk Przymorze, Obrońców Wybrzeża",65,3,11,1973,599 000 zł
Dwa pokoje z osobną kuchnią na Ujeścisku !,"Gdańsk Ujeścisko, Częstochowska",49.6,2,2,2001,380 000 zł
Dwa pokoje po generalnym remoncie- 10 min do morza,Gdańsk Przymorze,38,2,2,1977,450 000 zł
2 pokoje po remoncie - Gdańsk Orunia,Gdańsk Orunia,44.3,2,1,0,299 000 zł
Trzy pokojowy apartament w pasie nadmorskim,"Gdańsk Wrzeszcz, Grudziądzka",57.96,3,1,2019,640 520 zł
Nowe mieszkanie w klimatycznej kamienicy.,"Gdańsk Dolne Miasto, Łąkowa",63,3,2,1930,579 000 zł
