Tytuł,Miejsce,Powierzchnia,L_pokoi,Pietro,Rok_budowy,Cena
Przestronne i klimatyczne mieszkanie w kamienicy we Wrzeszczu,"Gdańsk Wrzeszcz, Grunwaldzka",79,3,1,1910,609 000 zł
3 pokoje z osobną kuchnią obok św. Ducha!,"Gdańsk Śródmieście, Św. Ducha",55,3,3,1956,570 000 zł
"4 pokojowe mieszkanie we Wrzeszczu, bardzo dobrze skomunikowane","Gdańsk Wrzeszcz, Kościuszki",80,4,1,1930,625 000 zł
Czteropokojowe mieszkanie na Zaspie,"Gdańsk Zaspa, Pilotów",66.7,4,4,1974,565 000 zł
Mieszkanie - Gdańsk Brzeźno,"Gdańsk Brzeźno, Władysława Broniewskiego",44,2,2,1975,398 000 zł
2  niezależne pokoje,"Gdańsk Młyniska, Mikołaja Reja",45,2,9,1967,389 000 zł
Klimatyczne mieszkanie 50 metrów od ulicy Długiej!,"Gdańsk Śródmieście, Ogarna",32.95,2,2,1953,494 250 zł
Mieszkanie - Gdańsk Orunia Górna,"Gdańsk Orunia Górna, Uranowa",60.19,3,parter,1998,465 000 zł
Słoneczny apartament w zielonej okolicy,"Gdańsk Morena, Stefana Myczkowskiego",50,2,4,1990,419 000 zł
Mieszkanie do wprowadzenia na Zakoniczynie!,"Gdańsk Zakoniczyn, Guderskiego",49.2,2,1,2014,419 000 zł
Przestronne mieszkanie na Garnizonie!,Gdańsk Leśmiana,69.4,3,1,2019,999 000 zł
"3 pokoje z dużym ogródkiem, kameralne osiedle","Gdańsk Łostowice, Olimpijska",51.8,3,parter,2009,385 000 zł
5 pokoi- pod inwestycję- doskonała lokalizacja,"Gdańsk Morena, Warneńska",63,5,4,1980,449 000 zł
Słoneczna kawalerka do remontu - p. 2/10,"Gdańsk Stogi, Stryjewskiego",25,1,2,1978,232 323 zł
"Mieszkanie - Gdańsk Przymorze, 385 000 zł","Gdańsk Przymorze, Obrońców Wybrzeża",46,2,parter,1970,385 000 zł
"Mieszkanie - Gdańsk Jasień, 509 000 zł","Gdańsk Jasień, Krzysztofa Komedy",57,3,parter,2018,509 000 zł
Łostowice- Ujeścisko 2 pokoje! Ogródek!,Gdańsk Ujeścisko,33.17,1,parter,2019,362 387 zł
Mieszkanie z dużym ogródkiem !!!,"Gdańsk Kowale, Posejdona",31.83,1,parter,1997,330 000 zł
Apartament- tre mare- tuż nad morzem- okazja!,"Gdańsk Jelitkowo, Jelitkowska",66,3,2,2017,1 450 000 zł
Mieszkanie z ogrodem oraz widokiem na Jezioro,"Gdańsk Jasień, Życzliwa",65.6,3,parter,2010,610 000 zł
3 -pokojowe mieszkanie z ogródkiem w Gdańsku !!!,"Gdańsk Wrzeszcz, Legionów",58.7,3,0,1930,529 000 zł
Mieszkanie - Gdańsk Kowale,"Gdańsk Kowale, Zeusa",34.6,2,parter,2017,334 000 zł
Ostatnie mieszkanie na tym osiedlu- Nad Motławą,"Gdańsk Długie Ogrody, Św. Barbary",67.8,3,parter,2019,699 000 zł
Apartament z pięknym widokiem 11 piętro Przymorze,"Gdańsk Przymorze, Obrońców Wybrzeża",42,2,11,2006,620 000 zł
Ostatnia kawalerka w tym budynku - Stare Miasto!,"Gdańsk Długie Ogrody, Św. Barbary",30.6,1,3,0,399 000 zł
Mieszkanie blisko plaży.,"Gdańsk Brzeźno, Dworska",35,2,3,1969,359 000 zł
Mieszkanie - Gdańsk Siedlce,"Gdańsk Siedlce, Kartuska",64,3,5,0,450 000 zł
Mieszkanie - Gdańsk Aniołki,"Gdańsk Suchanino, Cygańska Góra",65.34,3,1,1994,539 447 zł
Przestronna kawalerka w centrum Wrzeszcza,"Gdańsk Wrzeszcz, Kościuszki",32.7,1,2,1950,320 000 zł
2 pokoje!Gdańsk Kowale!niskie koszty utrzymania!,Gdańsk Kowale,56,2,1,2016,430 000 zł
Komfortowe mieszkanie w sercu Gdańska!,"Gdańsk Śródmieście, Szafarnia",64,2,parter,2018,930 000 zł
Przestronne 4 pokojowe mieszkanie blisko tramwaju,"Gdańsk Jasień, Jabłoniowa",88,4,4,2010,790 000 zł
Atrakcyjne Mieszkanie w Atrakcyjnej Cenie,"Gdańsk Przymorze, Jagiellońska",46,2,8,1970,405 000 zł
Pół wolnostojącego domu na Siedlcach,"Gdańsk Siedlce, Kartuska",160,3,parter,1960,1 350 000 zł
Najtańsza Kawalerka w Gdańsku !! Możliwość 2 pok.,Gdańsk Rudniki,28,1,1,0,135 000 zł
Pół wolnostojącego domu na Siedlcach,"Gdańsk Siedlce, Kartuska",160,3,parter,1960,1 350 000 zł
Mieszkanie - Gdańsk Niedźwiednik,"Gdańsk Niedźwiednik, Mazowiecka",86,4,1,1980,570 000 zł
Mieszkanie - Gdańsk Oliwa,"Gdańsk Żabianka, Dickmana",87,4,3,2002,869 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Śródmieście, Tartaczna",29,2,1,2014,549 000 zł
Świetne mieszkanie w samym Centrum Wrzeszcza,"Gdańsk Wrzeszcz, Legionów",46,2,3,0,490 000 zł
Mieszkanie 50 m2 Gdańsk Łost,Gdańsk Olimpijska,50.8,2,1,2011,389 000 zł
Mieszkanie,"GDAŃSK Morena, Czecha",69.2,4,4,1985,550 000 zł
Świeżo po remoncie mieszkanie-4 min pieszo tramwaj,"Gdańsk Ujeścisko, Nieborowska",35,2,2,2002,369 000 zł
Przytulny apartament na Wyspie Spichrzów,"Gdańsk Stare Przedmieście, Jaglana",38.1,1,7,0,499 999 zł
Słoneczne 3 pokojowe mieszkanie,"Gdańsk Orunia Górna, Zygmunta Rumla",71,3,1,2011,539 000 zł
Zadbane mieszkanie na Starym Mieście,"Gdańsk Śródmieście, Katarzynki",46,2,4,1954,490 000 zł
Idealne Do zamieszkania 2 Pokoje na Śródmieściu,"Gdańsk Młode Miasto, Wałowa",45,2,8,2018,599 000 zł
Mieszkanie - Gdańsk Przymorze,"Gdańsk Przymorze, Rzeczypospolitej",45,2,1,2015,499 000 zł
Loft dwu-poziomowy z widokiem na Motławę.,"Gdańsk Stare Przedmieście, Toruńska",69.2,2,5,2021,927 280 zł
"Apartament nadmorski-balkon,2 łazienki",Gdańsk Wrzeszcz,65.06,3,1,2018,715 720 zł
"Gdańsk, kawalerka- tylko 2 km od morza!","Gdańsk Stogi, Wilhelma Stryjewskiego",24.06,1,4,0,235 000 zł
Przestronny apartament blisko morza,Gdańsk Wrzeszcz,57.96,3,1,2018,630 520 zł
2 pokoje w niskim bloku na Przymorzu pilna spzedaż,"Gdańsk Przymorze, Jagiellońska",45,2,4,0,389 000 zł
Mieszkanie - Gdańsk Siedlce,"Gdańsk Siedlce, Kartuska",24,1,parter,0,269 000 zł
Mieszkanie na Morenie parking w hali z piwnicą,"Gdańsk Morena, Myśliwska",52.24,2,1,2009,519 000 zł
Mieszkanie z dużym ogródkiem idealne dla rodziny z dziećmi Kiełpinek,"Gdańsk Kiełpinek, Sympatyczna",63,3,parter,2008,540 000 zł
Apartament -2 pokoje - blisko morza- Jedyna oferta,"Gdańsk Przymorze, Obrońców Wybrzeża",46,2,9,0,589 000 zł
"Ciche, słoneczne 2 pokoje, Guderskiego, Jasień","Gdańsk Jasień, Guderskiego",49,2,1,2014,420 420 zł
"Słoneczne, 3 pokoje z osobną kuchnią 61,27m2, Gda. Orunia, ul. Uranowa","Gdańsk Orunia Górna, Uranowa",61.27,3,3,1993,455 000 zł
Mieszkanie na Jasieniu gotowe aby się do niego wprowadzić,"Gdańsk Jasień, Guderskiego",49,2,1,2014,429 000 zł
Mieszkanie na Przymorzu,Gdańsk Przymorze,45,2,1,2017,499 000 zł
M3 pokoje wrzeszcz ogródek piwnica -wlascisiel,"Gdańsk wrzeszcz, lwowska 1",58.4,3,parter,1980,489 000 zł
Przytulna kawalerka w zacisznym VII Dworze-Gdańsk,Gdańsk Oliwa,26.1,1,4,1965,319 000 zł
Na sprzedaż apartament nad morzem 4 pokoje,"Gdańsk Jelitkowo, Wypoczynkowa",125,4,1,2017,3 748 000 zł
Mieszkanie Gdańsk Wrzeszcz  84 m2,Gdańsk Wrzeszcz,84,5,9,0,899 000 zł
2 pokojowe mieszkanie na Gdańskiej Starówce z pięknym widokiem,"Gdańsk Śródmieście, Głęboka",51,2,8,1961,450 000 zł
Mieszkanie 2-pokojowe blisko morza. Gdańsk Żabianka,"Gdańsk Żabianka, Sztormowa 7",43,2,parter,1973,490 000 zł
2 pokoje / Do Wprowadzenia/ 10 min. do plaży / Żabianka,"Gdańsk Żabianka, Wejhera",41,2,4,1966,415 000 zł
3 pokoje w centrum Gdańska,"Gdańsk Siedlce, Lecha Bądkowskiego",66,3,5,1994,449 000 zł
Suchanino 2 pokoje z widokiem oddzielna kuchnia,"Gdańsk Suchanino, Ignacego Paderewskiego",44.52,2,8,1980,348 000 zł
Wynajmę lub sprzedam dwu pokojowe mieszkanie,"Gdańsk Przymorze, Kołobrzeska 45c",50,2,1,1980,499 000 zł
3 pokoje w świetnej lokalizacji !!,"Gdańsk Zaspa, Pilotów",56.3,3,5,1978,499 999 zł
Mieszkanie,"Gdańsk Aniołki, Focha",44,2,2,2010,580 000 zł
Przytulna kawalerka,"Gdańsk  Zaspa, Burzyńskiego 12B",27,1,11,1982,360 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Brzeźno, 4 pokoje, 102,14 mkw, za 840000 zł. Kup Bez Prowizji!","Gdańsk Brzeźno, Dworska",102.14,4,parter,1978,840 000 zł
Mieszkanie 60 m Gdańsk Kowale,"Gdańsk Kowale, Ateny",59.96,3,2,1999,400 000 zł
Przestronne słoneczne 4 pokoje Chełm lokalizacja,"Gdańsk Chełm, Reformacka",74.78,4,1,1990,560 000 zł
Wraca do sprzedaży - De Gaulle'a,"Gdańsk Wrzeszcz, de Gaulle",58.8,3,1,1905,485 000 zł
Piękne i przestronne mieszkanie.,"Gdańsk Matarnia, Elewów",100,4,3,1996,570 000 zł
Dwie kawalerki gotowe do wynajmu!!,"Gdańsk Przymorze, Rzeczypospolitej",37,2,8,0,499 000 zł
Gdańsk - zamieszkaj w modnym Garnizonie!,"Gdańsk Wrzeszcz, Antoniego Słonimskiego",38,1,4,2012,640 000 zł
Mieszkanie - Gdańsk Stare Miasto,"Gdańsk Śródmieście, Świętego Ducha",56,2,2,2017,952 000 zł
Mieszkanie - Gdańsk Morena,"Gdańsk Morena, Królewskie Wzgórze",74.58,3,3,2008,648 800 zł
Nowoczesna kawalerka w centrum Wrzeszcza,"Gdańsk Wrzeszcz, Partyzantów 35B",24.5,1,4,1975,345 000 zł
Mieszkanie - Gdańsk Nowy Port,"Gdańsk Nowy Port, Na Zaspę",123.43,6,parter,0,530 000 zł
Dwupak kawalerek w Centrum Wrzeszcza- inwestycja!,"Gdańsk Wrzeszcz, Stanisława Wyspiańskiego",34,2,parter,0,490 000 zł
Mieszkanie pod inwestycje 4-pokoje 118m2 - Gdańsk Śródmieście,"Gdańsk Długie Ogrody, Angielska Grobla",118,4,2,1920,944 000 zł
Luksusowe mieszkanie blisko morza Tre Mare,"Gdańsk Jelitkowo, Jelitkowska",84,3,1,2017,1 830 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Żabianka, 4 pokoje, 63,2 mkw, za 620000 zł. Kup Bez Prowizji!","Gdańsk Żabianka, Sztormowa",63.2,4,1,1970,620 000 zł
Mieszkanie po zielonej stronie osiedla,"Gdańsk Morena, Myśliwska",58.8,2,1,2010,555 000 zł
Mieszkanie Gdańsk Siedlce Malczewskiego 31 m2,"Gdańsk Siedlce, Malczewskiego",31,2,3,0,245 000 zł
3 pokoje Gdańsk Śródmieście,"Gdańsk Śródmieście, Mniszki",83.7,3,3,1960,699 000 zł
Apartament 3 pokojowy blisko morza Tre Mare,"Gdańsk Jelitkowo, Jelitkowska",66,3,2,2017,1 450 000 zł
Kawalerka na Żabiance w cichej i spokojnej okolicy,Gdańsk Gospody,24,1,3,1975,287 000 zł
"Mieszkanie - Gdańsk Łostowice, 380 000 zł","Gdańsk Łostowice, Wielkopolska",47,2,2,2008,380 000 zł
"Wrzeszcz, 7 pokoi - doskonała inwestycja","Gdańsk Wrzeszcz, Adama Mickiewicza",81.37,7,1,1910,680 000 zł
3 pok Apartament 3 min od morza,"Gdańsk Jelitkowo, Wypoczynkowa",78.5,3,3,2009,1 530 750 zł
Mieszkanie - Gdańsk Morena,"Gdańsk Morena, Dolne Migowo",88.76,4,1,2019,769 000 zł
4 pokojowe z poddaszem Wrzeszcz,"Gdańsk Wrzeszcz, Kościuszki",73,4,4,0,650 000 zł
2 pokojowe mieszkanie świetnie skomunikowane,"Gdańsk Orunia Górna, Platynowa",49,2,2,1998,459 000 zł
Gdańsk Żabianka ul. Pomorska - mieszkanie 47 m2 na sprzedaż,"Gdańsk Żabianka, Pomorska",47,3,9,1976,444 000 zł
Słoneczne mieszkanie w spokojnej okolicy,"Gdańsk Przymorze, Obrońców Wybrzeża",46,2,parter,1970,385 000 zł
Słoneczna kawalerka z balkonem,"Gdańsk Przymorze, Obrońców Wybrzeża",30,2,5,1970,319 000 zł
Mieszkanie 3 pokojowe na Ujeścisku,"Gdańsk Ujeścisko, Zamojska",54.3,3,parter,1994,420 000 zł
Gdańsk Przymorze - Jelitkowski Dwór - na sprzedaż 45 m 2,"Gdańsk Przymorze, Jelitkowski Dwór",45.5,2,3,2005,549 000 zł
Mieszkanie 2 pokojowe na Jasieniu,"Gdańsk Jasień, Pólnicy",54.5,2,1,1994,460 000 zł
Unikat! wszędzie balkon c. wrzeszcza 2 POK os kuch,"Gdańsk Wrzeszcz, Bolesława Chrobrego",50.6,2,3,1960,450 000 zł
Klimatyczny Wrzeszcz - 2 pok. gotowe do wprowadzen,"Gdańsk Wrzeszcz, Bolesława Chrobrego",57.38,2,1,1925,550 000 zł
Od morza dzieli nas tylko deptak!,"Gdańsk Przymorze, Obrońców Wybrzeża",41.8,2,11,2006,620 000 zł
Gdańsku Stogi - 3 pokoje blisko plaży!,"Gdańsk Stogi, Wilhelma Stryjewskiego",52.29,3,2,1974,425 000 zł
"Mieszkanie na Stogach, blisko morza.","Gdańsk Stogi, Zalesie",28,1,1,0,215 000 zł
"Kawalerka 26m2 blisko obc, ug, pg","Gdańsk VII Dwór, Aleksandra Gryglewskiego",26.1,1,4,1960,318 999 zł
2pokoje po generalnym remoncie Wrzeszcz Centrum,"Gdańsk Wrzeszcz, Wajdeloty",42,2,3,1932,455 000 zł
Mieszkanie - Gdańsk,"Gdańsk Wrzeszcz, Gen. Józefa Hallera",51,2,2,2010,601 800 zł
Gdańsk Morena - Osiedle Myśliwski Stok ulica Myśliwskie Wzgórze,"Gdańsk Morena, Myśliwskie Wzgórze",61,3,1,2013,599 000 zł
Kawalerka na sprzedaż,"Gdańsk Matarnia, M. Słabego",32.3,1,2,2016,384 000 zł
Wygodne 3 pokojowe Chełm,"Gdańsk Chełm, Hebanowskiego Stanisława",61,3,parter,2005,555 550 zł
Piękne mieszkanie na prestiżowej inwestycji,"Gdańsk Suchanino, Powstańców Warszawskich",32.59,1,3,2020,439 965 zł
"60m2, 3 pok., Gdańsk, ul. Kołobrzeska, do negocjacji, 0% prowizji","Gdańsk Przymorze, Kołobrzeska 54",60,3,3,1972,590 000 zł
Gotowiec inwestycyjny w centrum Gdańska!!,"Gdańsk Śródmieście, Ogarna 126/127",53.1,3,3,1950,798 000 zł
Gdańsk Chełm po remoncie 3 pokoje z windą i pięknym widokiem!,"Gdańsk Chełm, Biegańskiego 39",49.5,3,5,1985,519 000 zł
Mieszkanie z dużym potencjałem przy tramwaju.,"Gdańsk Stogi, Wilhelma Stryjewskiego",37,2,parter,1980,269 900 zł
Mieszkanie Gdańsk Łostowice Brylantowa 33.82 m2,"Gdańsk Łostowice, Brylantowa",33.82,1,parter,0,289 000 zł
Piękny 167 metrowy apartament w deo plazie,"Gdańsk Śródmieście, Chmielna",167.36,4,6,2020,4 686 080 zł
Albatross Towers 3 pokoje + miejce w hali garażowej,"Gdańsk Przymorze, Rzeczypospolitej",63.36,3,10,2013,795 000 zł
"Gdańsk Wrzeszcz, 6 pokoi, inwestycja z najemcami,","Gdańsk Wrzeszcz, Antoniego Lendziona",91.5,6,2,1906,849 000 zł
Przytulne mieszkanie 2-pok Osiedle Horyzont,"Gdańsk Przymorze, Obrońców Wybrzeża",40.8,2,9,2005,500 000 zł
Przestronne mieszkanie 3-pok przy ul. Długiej,"Gdańsk Śródmieście, Długa",67.4,3,2,1950,800 000 zł
"Mieszkanie 3-pok obok lasu, niski blok","Gdańsk Niedźwiednik, Góralska",60.5,3,1,1990,550 000 zł
"2 pok. mieszkanie, Wrzeszcz Górny, centrum, przy lesie","Gdańsk Wrzeszcz, Stefana Batorego",45.5,2,parter,1970,399 000 zł
Mieszkanie 3-pok z widokiem na panoramę,"Gdańsk Wrzeszcz, Marynarki Polskiej",52.4,3,5,1964,459 000 zł
Inwestycja Deo Plaza Wyspa Spichrzów,"Gdańsk Śródmieście, Chmielna",45.31,2,4,2020,1 223 370 zł
2 pokojowe mieszkanie Gdańsk Przymorze.,"Gdańsk Przymorze, Pucka",42,2,4,1972,378 000 zł
Nadmorze apartament 4 pokoje z ogrodem 200 m do morza,"Gdańsk Brzeźno, Krasickiego",106,4,parter,2017,1 750 000 zł
Kameralna kawalerka w Deo Plazie w Gdańsku,"Gdańsk Śródmieście, Chmielna",25.81,1,1,2020,606 535 zł
Apartament w Deo Plaza Wyspa Spichrzów,"Gdańsk Śródmieście, Chmielna",59.33,2,1,2020,1 394 255 zł
Angielska Grobla-wysoki standard przy Motławie,"Gdańsk Długie Ogrody, Św. Barbary",41.13,2,4,2017,679 000 zł
Nowe 4 pokoje ogród komórka 2 łazienki garaż,"Gdańsk Morena, Dolne Migowo",62.02,4,parter,2019,615 000 zł
3 Pokoje Gdańsk przymorze okazja,Gdańsk Przymorze,59,3,6,1980,499 000 zł
"Mieszkanie z balkonem. Gdańsk Morena, Okazja!",Gdańsk Morena,38,2,1,2010,445 000 zł
Nowa Grobla Apartament na sprzedaż z kominkiem,"Gdańsk Długie Ogrody, Długa Grobla",72.97,3,2,2018,795 000 zł
Mieszkanie - Gdańsk Łostowice,"Gdańsk Łostowice, Olimpijska",51,3,parter,2009,385 000 zł
"3-pokojowe mieszkanie, Karczemki","Gdańsk Karczemki, Jaśminowy Stok",59,3,3,2009,459 000 zł
Trzy pokojowe Mieszkanie na Niedźwiedniku,"Gdańsk Niedźwiednik, Góralska",60,3,1,1990,550 000 zł
Mieszkanie Gdańsk Zakoniczyn Konrada Guderskiego 47 m2,"Gdańsk Zakoniczyn, Konrada Guderskiego",47,2,1,0,369 000 zł
Kawalerka w centrum Wrzeszcza,"Gdańsk  Wrzeszcz, Batorego 37",25.6,1,parter,1961,280 000 zł
3-pokojowe gotowe do zamieszkania,"Gdańsk Morena, Burgaska",61,3,3,1984,511 250 zł
3 pokoje w centrum Wrzeszcza.,"Gdańsk Wrzeszcz, Wajdeloty",67,3,3,1905,499 000 zł
"Chełm, 5 pokoi","Gdańsk Chełm, Kazimierza Kopeckiego",63.4,5,4,1970,480 000 zł
Apartament waterlane ul. Szafarnia przy Motławie,Gdańsk Śródmieście,51,2,3,2012,995 000 zł
Mieszkanie - Gdańsk Kowale,"Gdańsk Kowale, Zeusa",53.52,3,1,2018,390 000 zł
Mieszkanie na parterze - ustawne! Na Przymorzu,Gdańsk Przymorze,46,2,parter,1970,420 000 zł
"Biskupia Górka na raz!Umów się już dziś,inwestycja!",Gdańsk Śródmieście,40,2,10,1973,365 000 zł
"Atrakcyjne, słoneczne, 2-pokojowe mieszkanie","Gdańsk Kowale, Apollina",56,2,1,2016,430 000 zł
"Zamieszkaj niedaleko morza, ciesz się dostępnością usług",Gdańsk Nowy Port,52,2,3,1970,349 000 zł
Niedźwiednik daje Ci ciszę i bliskość centrum !,Gdańsk Niedźwiednik,61,3,2,1970,549 000 zł
"Przytulne mieszkanie 2-pok., niski blok","Gdańsk Morena, Raciborskiego",49.4,2,2,1990,429 000 zł
Niedoceniana lokalizacja! 3 pokoje-zrób po swojemu!,Gdańsk Nowy Port,41.2,3,3,1920,288 000 zł
Kawalerka idealna dla osoby pracującej we Wrzeszczu,Gdańsk wrzeszcz,33,1,2,1940,320 000 zł
"Centrum Wrzeszcza dla rodziny, wszędzie blisko!",Gdańsk Wrzeszcz,63,3,2,1984,540 000 zł
4 pokoje całkowicie wyposażone Gdańsk Zakoniczyn,Gdańsk Zakoniczyn,76.94,4,2,2006,590 000 zł
3 pokoje na morenie po remoncie z ogródkiem,"Gdańsk Morena, Janusza Kusocińskiego",64,3,parter,1980,569 000 zł
Nowoczesny apartament w centrum Gdańska,"Gdańsk Długie Ogrody, Długa Grobla",67.24,3,2,2018,795 000 zł
"Mieszkanie 2 pokojowe w centrum, z widokiem!",Gdańsk Śródmieście,51,2,8,1961,450 000 zł
Apartament brabank stare Miasto przy Motławie,"Gdańsk Śródmieście, Stara Stocznia",52,2,4,2017,919 000 zł
Przestronne mieszkanie z potencjałem inwestycyjnym,Gdańsk Jasień,54,2,1,1994,460 000 zł
Przestronne mieszkanie z własnym ogrodem,"Gdańsk Łostowice, Olimpijska",51.8,3,parter,2009,385 000 zł
3 pokojowe. Blisko Starówki. Chętnie zamiana na mn,"Gdańsk Biskupia Górka, Spadzista",52,3,6,1975,485 000 zł
Apartament w  Deo Plazie z widokiem na Motławę,"Gdańsk Śródmieście, Chmielna",58.41,2,1,2020,1 752 300 zł
Mieszkanie - Gdańsk Ujeścisko,"Gdańsk Ujeścisko, Łódzka",33,2,1,2020,375 000 zł
Dwa pokoje na Jasieniu!,"Gdańsk Jasień, Pólnicy",54.5,2,1,1996,460 000 zł
Słoneczne 2 pokojowe mieszkanie na Jasieniu,Gdańsk Jasień,49,2,1,2014,429 000 zł
Centrum Gdańska gotowe do zamieszkania!,"Gdańsk Śródmieście, Długa Grobla",67.24,3,2,2018,795 000 zł
Gustowne mieszkanie 2 pokojowe- po remoncie!,"Gdańsk Przeróbka, Jana Brzechwy",39,2,parter,1970,324 000 zł
Przestronne 3 pokojowe Śródmieście,"Gdańsk Długie Ogrody, Długa Grobla",67,3,2,2018,795 000 zł
2 pokojowe w świetnej lokalizacji,"Gdańsk Biskupia Górka, Spadzista",39,2,10,1973,365 000 zł
Wyposażone 2 pokoje z miejscem postojowym w cenie!,"Gdańsk Rębowo, Konrada Guderskiego",49.2,2,1,2014,420 000 zł
"Mieszkanie - Gdańsk , 400 000 zł","Gdańsk Zakoniczyn, Kazimierza Porębskiego",48.2,2,2,0,400 000 zł
2 pokojowe mieszkanie z balkonem na cichym osiedlu,"Gdańsk Rębowo, Konrada Guderskiego",49,2,1,2014,420 000 zł
Mieszkanie - Gdańsk Stare Miasto,"Gdańsk Długie Ogrody, Św. Barbary",64,2,1,0,930 000 zł
3pokoje/Nowe budownictwo/Gdańsk Morena/-Nowe,"Gdańsk Morena, Franciszka Rakoczego",56.37,3,1,2020,599 000 zł
Harmonia Oliwska -Inpro 60m2- 3pokoje,"Gdańsk Oliwa, Opacka",60,3,1,2019,840 000 zł
Pięknie urządzone mieszkanie z dużym ogrodem!,"Gdańsk Łostowice, Olimpijska",51.8,3,parter,2010,385 000 zł
"Granaria, ul. Chmielna","Gdańsk Śródmieście, Chmielna",22.82,1,1,2019,430 000 zł
"Mieszkanie z dwoma niezależnymi pokojami, Orunia.","Gdańsk Orunia, Związkowa",37.51,2,parter,1966,250 000 zł
Słoneczne mieszkanie 2-pokojowe- nad rzeką- Stogi,"Gdańsk Stogi, Tamka",42.89,2,4,1972,323 000 zł
Mieszkanie inwestycyjne blisko centrum-6000 zł/msc,"Gdańsk Orunia, Małomiejska",45,2,1,1920,339 000 zł
3 pokoje na Morenie w atrakcyjnej cenie!,"Gdańsk Morena, Ignacego Matuszewskiego",64,3,2,1978,445 000 zł
"Mieszkanie 2 pokojowe, nowe,wykończone","Gdańsk Łostowice, Złota",50.6,2,3,2020,397 000 zł
Sobieszewo 3 pokojowy Apartament,"Gdańsk Sobieszewo, Forsycji",58.03,3,1,2015,715 000 zł
Gdańsk Osowa ul Hery,"Gdańsk Osowa, Hery",45,2,parter,2011,379 000 zł
"Gdańsk Zaspa, 42.40m2, 2-pokojowe, w doskonałej lokalizacji","Gdańsk Zaspa, Pilotów",42.4,2,8,1974,408 000 zł
"Kup, wynajmuj i zarabiaj!","Gdańsk Wrzeszcz, Grunwaldzka",56.13,2,2,1956,550 000 zł
Prestiżowa inwestycja w centrum Gdańska,"Gdańsk Suchanino, Powstańców Warszawskich",93.73,4,1,0,951 491 zł
42 m dwa pokoje z aneksem kuchennym blok Zalesie 23,"Gdańsk stogi, Zalesie 23",42,2,3,1980,300 000 zł
"Mieszkanie 74 m2 na Chełmie, funkcjonalny rozkład, blisko tramwaj","Gdańsk Chełm, Cebertowicza",74,4,parter,1989,630 000 zł
Mieszkanie dwupokojowe Gdańsk Przymorze,"Gdańsk Przymorze, Al. Rzeczypospolitej",38,2,7,1979,325 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Długie Ogrody, Długa Grobla",67.24,3,2,2018,795 000 zł
"Mieszkanie 2 pok., 46 m kw. - Gdańsk Przymorze","Gdańsk Przymorze, Jagiellońska 10H",46,2,7,1970,395 000 zł
Sprzedam prywatnie mieszkanie 2 pokojowe Piecki migowo morena,"Gdańsk Morena, Wileńska",42,2,parter,1980,500 000 zł
3 pokoje na Morenie z pięknym widokiem ! Okazja,Gdańsk Morena,64,3,10,1974,569 000 zł
Wyposażone w sercu Gdańska 2 pok z os kuchnią !,"Gdańsk Stare Przedmieście, Kładki",53.37,2,4,1900,450 000 zł
"Gdansk Oliwa, dwupokojowe mieszkanie sprzedam","Gdańsk Oliwa, Wita Stwosza",46,2,parter,1960,470 000 zł
Nowoczesny wyposażony Apartament w sercu Gdańska,"Gdańsk Śródmieście, Zbytki",46,3,parter,2008,597 000 zł
"Słoneczne mieszkanie w Oliwie, blisko lasu","Gdańsk Oliwa, Karpacka",41,2,7,1970,440 000 zł
Szybkie wydanie!2 pok.z miejscem parkingowym,"Gdańsk Szadółki, Potęgowska",31.6,2,1,2012,329 000 zł
Komfortowe mieszkanie w pięknej okolicy,"Gdańsk Zakoniczyn, Kazimierza Porębskiego",76.94,4,2,2006,590 000 zł
"Mieszkanie 3 pokoje, Wrzeszcz, Inwestycja","Gdańsk Wrzeszcz, Tadeusza Kościuszki",40.2,3,1,1960,439 000 zł
"2 pokojowe 47 ,m2",Gdańsk Nowy Port,47,2,5,1978,399 000 zł
3 pokoje w centrum Starego miasta ul. Długa,"Gdańsk Śródmieście, Długa",67.4,3,2,1950,800 000 zł
Mieszkanie w Gdańsku Oliwie,"Gdańsk Oliwa, Stary Rynek Oliwski",77,6,2,1869,549 000 zł
Mieszkanie - Gdańsk Przymorze,"Gdańsk Przymorze, Obrońców Wybrzeża",46,2,parter,0,384 994 zł
"Nowe, stylowo wykończone M3 z ogrodem na Jasieniu!","Gdańsk Jasień, Węgrzyna",53.03,3,parter,2019,506 999 zł
Sprzedam mieszkanie 40m2,"Gdańsk Kiełpinek, Przytulna",40,2,parter,2005,350 000 zł
"Duże mieszkanie po remoncie dostępne od zaraz, ładny widok","Gdańsk Orunia Górna, Strzelców Karpackich",77.3,4,4,1997,580 000 zł
"Centrum Wrzeszcza, 2 pokoje z garderobą, 68m2!","Gdańsk Wrzeszcz, Grunwaldzka",68,2,2,1960,590 000 zł
Wyjątkowy 3 pokojowy apartament- Długa Grobla !,"Gdańsk Długie Ogrody, Długa Grobla",67.24,3,2,2018,795 000 zł
Luksusowy apartament z widokiem na Motławę Gdańsk,"Gdańsk Śródmieście, Chmielna",126.19,3,1,2020,2 511 000 zł
